COUNTY,TOWERCOUNT
COOK,28
COOKE,7
COOPER,9
COOS,15
COOSA,4
COPIAH,13
CORSON,3
CORTLAND,5
CORYELL,16
COSHOCTON,3
COSTILLA,6
COTTLE,3
COTTON,2
COTTONWOOD,3
COVINGTON,9
COWETA,8
COWLEY,3
COWLITZ,14
CRAIG,4
CRAIGHEAD,3
CRANE,7
CRAWFORD,60
CREEK,7
CRENSHAW,4
CRISP,3
CRITTENDEN,9
CROCKETT,20
CROOK,15
CROSBY,3
CROSS,7
CROW WING,3
CROWLEY,4
CULBERSON,7
CULLMAN,6
CULPEPER,2
CUMBERLAND,64
CURRITUCK,10
CURRY,20
CUSTER,40
CUYAHOGA,3
DADE,2
DAGGETT,4
DAKOTA,4
DALE,7
DALLAM,9
DALLAS,22
DANE,11
DANIELS,8
DARE,5
DARKE,7
DARLINGTON,3
DAUPHIN,8
DAVIDSON,5
DAVIE,3
DAVIESS,16
DAVIS,3
DAVISON,4
DAWES,7
DAWSON,16
DAY,4
DE BACA,6
DE KALB,11
DE SOTO,14
DE WITT,8
DEAF SMITH,15
DEARBORN,5
DECATUR,25
DEER LODGE,3
DEFIANCE,4
DEKALB,18
DEL NORTE,2
DELAWARE,50
DELTA,23
DENALI,12
DENT,5
DENTON,8
DES MOINES,2
DESCHUTES,4
DESHA,4
DESOTO,14
DEUEL,12
DEWEY,8
DEWITT,10
DICKEY,7
DICKINSON,12
DICKSON,12
DILLON,5
DIMMIT,4
DINWIDDIE,3
DIVIDE,11
DIXIE,6
DIXON,1
DODGE,16
DOLORES,2
DONA ANA,31
DONIPHAN,8
DONLEY,6
DOOLY,6
DORCHESTER,8
DOUGHERTY,7
DOUGLAS,100
DREW,2
DUBOIS,4
DUBUQUE,3
DUCHESNE,4
DUKES,2
DUNDY,1
DUNKLIN,5
DUNN,16
DUPAGE,1
DUPLIN,4
DURHAM,1
DUTCHESS,14
DUVAL,8
DYER,4
EAGLE,4
EARLY,6
EAST BATON ROUGE,6
EAST CARROLL,1
EAST FELICIANA,7
EASTLAND,10
EATON,4
EAU CLAIRE,6
ECHOLS,4
ECTOR,12
EDDY,36
EDGAR,3
EDGECOMBE,2
EDGEFIELD,10
EDMONSON,11
EDMUNDS,3
EDWARDS,25
EFFINGHAM,10
EL DORADO,24
EL PASO,12
ELBERT,11
ELK,7
ELKHART,27
ELKO,27
ELLIOTT,1
ELLIS,21
ELLSWORTH,5
ELMORE,21
EMANUEL,2
EMERY,6
EMMET,13
EMMONS,11
EMPORIA CITY,1
ERATH,6
ERIE,45
ESCAMBIA,12
ESMERALDA,1
ESSEX,13
ESTILL,2
